pair_key,molecule_a_id,molecule_b_id,molecule_a_hash,molecule_b_hash,scaffold_a_hash,scaffold_b_hash,tanimoto_similarity,delta_pIC50
4b43c43ab1dd,CHEMBL5783967,CHEMBL5881427,a32a34b83d36,9326600ea42b,4f9efeb09982,4f9efeb09982,0.9036,1.7275
a2fa9795d768,CHEMBL5783967,CHEMBL5809227,a32a34b83d36,62dd4dcc2cf9,4f9efeb09982,4f9efeb09982,0.8706,1.7275
05faeb44390a,CHEMBL5783967,CHEMBL5812558,a32a34b83d36,836f01e87645,4f9efeb09982,4f9efeb09982,0.8706,1.7275
c14956010eab,CHEMBL3353403,CHEMBL5820028,5d00a607fdcb,081d3b1ee793,a73b97806e0c,a73b97806e0c,1.0,1.727
1a2e1a32f64b,CHEMBL4450843,CHEMBL4521381,e369a09cd02c,7e550ec7e987,3b812260fda9,3b812260fda9,1.0,1.7116
6650257723aa,CHEMBL109212,CHEMBL111443,e91f210ec6ce,8f3a5d8129b8,9f64913a9962,9f64913a9962,0.9216,1.71
1f6d2fcdb45d,CHEMBL3920551,CHEMBL3968039,66d2c0852988,4c762fce97b0,95497d93eeeb,49ff8153b0c8,0.8684,1.7076
31ce668acf2b,CHEMBL4463765,CHEMBL4540303,dc5836de035a,432c0a2d0450,a9199ff128f7,5c3295f7e007,0.9211,1.6999
5bb8d80a9a2f,CHEMBL4211835,CHEMBL4217913,0d3b1c04422c,1546c20acb4b,c8246288cb2b,c8246288cb2b,0.9104,1.6996
e2359eeadc0a,CHEMBL440298,CHEMBL490577,459fa3302479,54716555a016,679fa837f1c5,679fa837f1c5,1.0,1.699
667908f5ff23,CHEMBL5746836,CHEMBL5818938,6b7cf1c34169,0a46d16a04d1,70268b1950b3,70268b1950b3,1.0,1.699
0f6350456cf7,CHEMBL5818938,CHEMBL5928946,0a46d16a04d1,cd0bfff61477,70268b1950b3,0b646909e828,0.8696,1.699
a9584ddf492f,CHEMBL1241770,CHEMBL1241859,4b7482f9c27a,88c1460e2d7e,4cbd6544eaeb,4da71297c793,0.8929,1.6968
be3895c528fe,CHEMBL1830267,CHEMBL1830274,a4b439f12179,15155e7a10a1,c3d890e54028,c3d890e54028,0.8974,1.6962
c7b432ef49ba,CHEMBL5173517,CHEMBL6145857,f4eb1325decc,7c475fd7e8d5,3ff23e73b2de,3ff23e73b2de,1.0,1.6812
a75035405fcb,CHEMBL3088220,CHEMBL3088225,f97d173c7e17,a4edfa39701c,bd9f78919521,bd9f78919521,0.8727,1.6786
734cc8e399e5,CHEMBL4750196,CHEMBL4777554,af91ad93252f,67efbfe50990,ba13fcf595df,294df01ca7c7,0.8523,1.6704
86fd43cde4ff,CHEMBL5597916,CHEMBL6025577,2bd3bf2dddfd,d0fb952730ef,102b8afb7edf,102b8afb7edf,0.8571,1.6672
e67a7d0162ed,CHEMBL2347960,CHEMBL2347962,9f339a28f9ee,6ca414e5ecc2,3b812260fda9,3b812260fda9,0.942,1.6645
7abcaed5d652,CHEMBL3671496,CHEMBL3671509,71116ee25646,f9aebe1a0e51,3e29b80f74c6,3e29b80f74c6,0.8571,1.658
cb1d51d143df,CHEMBL5836438,CHEMBL6040634,70b049ddc667,46116777f479,6df27864b04c,6df27864b04c,1.0,1.6404
7c132ec4211c,CHEMBL5858538,CHEMBL5938505,2c0412f91062,b52e9a1555e2,27529897247c,27529897247c,0.9107,1.6404
610a9dd4e281,CHEMBL5836438,CHEMBL6016272,70b049ddc667,c5c757ac3b12,6df27864b04c,7bdbbc54e4d3,0.9048,1.6404
