scaffold_hash,molecule_count,MAE,RMSE,mean_similarity
cefa37faffc3,5,2.0410654998899465,2.051244796004504,0.6850569064790709
9777aae76d46,8,2.000853149001242,2.0199833873682604,0.6023139836045905
f05b463c4807,27,1.8787420591486719,1.9968066065367136,0.5805501127097298
b5d5842db796,8,1.7607598921528176,1.834803775445837,0.57812024825565
e07c15b885a2,5,1.6645221595570263,1.6898848487262905,0.49682943598985574
9557cbe740cf,6,1.5598222664771273,1.568527996449048,0.43211615535271225
df523ad7f15e,6,1.541419929303122,1.5932934734294988,0.39207748156869343
f39021775de9,10,1.5312703169467667,1.6453327801494642,0.5321783535120168
16bb6e189c12,10,1.4651209516607058,1.5159122671522047,0.704268360781106
d7fe46d89223,7,1.3959884376354255,1.6907268692046118,0.6027495315680651
6121c3ce454c,6,1.3940933631148493,1.6622351391874404,0.9501514092709061
9b27ccd412fd,6,1.3798790176907836,1.4071126713845825,0.7222069625522934
316779c6cf41,5,1.3664527066902672,1.588201521214121,0.617645239799766
c063032cbf70,7,1.3530371097699319,1.4054339471978943,0.7558105613074144
c039e524a45f,12,1.3394589753099175,1.5423215886384647,0.7864214501079578
bbc815c02f58,10,1.3312013221498114,1.4085548238468224,0.688675323983127
145d1006a83b,6,1.308976365220695,1.4494305893973929,0.5432605740716318
9f515740f062,6,1.2923887056769094,1.3983049118402062,0.7282234636796793
d71415cdbdcc,6,1.2527916395742336,1.2754224524425706,0.32146889626809305
c4dc3f5910ce,6,1.2337721680669236,1.261291569981173,0.69212158808933
da3565ff60dd,14,1.224693592310101,1.4385690856745208,0.7266724518067955
4d290608765e,8,1.2021609810611906,1.4140157920370802,0.6200846297872793
296f9d04cde8,16,1.1860391236917178,1.330761941586373,0.5112638566355382
d88c30d37488,12,1.1670232297974563,1.2059025752011674,0.589544733608664
c51640a3637d,5,1.1520419488854803,1.3184025502341112,0.7297529924290488
b7146fe2cecc,9,1.13575482929902,1.168642721188399,0.7742990376482565
ba7e02001480,6,1.1290550224410474,1.1546235758498173,0.6358102642901757
61f51907a04f,27,1.113394352284207,1.496345719511253,0.489075372098979
afa3c89294d4,6,1.108844763092702,1.380444226936745,0.6937042696967449
bbef61f67d6b,8,1.1082049944820356,1.200841757982459,0.7221534868795009
99aad6ecfa10,11,1.1049511465620065,1.3666455393453576,0.7491739784198341
0e7acafb2eb9,47,1.103182577901545,1.2390841611732928,0.6122998863364689
d9fe4dbea328,12,1.1022937338683307,1.2401749921645997,0.6490563551902714
0e7b9562723e,6,1.0764489922277143,1.4467956858651505,0.8502755618478889
44f7a2a20679,6,1.0745266850920567,1.3759839393147246,0.7037889882825467
0fbabb861eb6,6,1.0669741458741784,1.193016220571912,0.7034002481763676
d7adba0e0d65,7,1.0594734224361955,1.1602574665144556,0.7590994136144502
3b08ea1357bb,11,1.025211879161734,1.075159404446317,0.4978673904356023
07788a73399b,5,1.022724286043056,1.0998746768185508,0.7172974537181334
90e33420a1fe,21,1.021483092261678,1.2805022833387671,0.6665833264531665
1221dab4561b,5,1.0212845012866973,1.0562054511221735,0.612512360135311
7e00a16c41c0,23,1.0119007081698894,1.2376858298796676,0.6086287562330958
fc820c9a96f9,7,1.00603456922788,1.1442012266424388,0.44256308056049226
481029294847,24,0.9990120625438448,1.17156483707263,0.6868060008598399
bd0cab0cfcc6,8,0.9856680108349879,1.031711556476188,0.6925920195820146
13cad05ca8f4,87,0.9838877157103445,1.2235685108425345,0.4781646040082726
29f2504a6e43,9,0.9838671062547024,0.99961157202493,0.2844452349471035
f0c6b09cfc7a,5,0.9674765139062206,1.039180093757444,0.2854866525141811
ed514f651857,23,0.9655991002792722,1.1675914117518786,0.7380302074380991
1cf54cfc4f7c,8,0.963451722156789,1.1119935862172647,0.7725675898230246
2dcc0b7a6442,17,0.9583350258607634,1.0797212894451493,0.45423091223804535
ff9c9d634b52,7,0.9558377210919314,1.1470864738988236,0.7073311669771173
e9ca67cf14a6,14,0.9522096106859603,1.1025120896268512,0.7075496224270772
d68e1c34939d,12,0.9438971274628627,1.0256848983008726,0.5410635616130314
972a8be9a584,21,0.9438396221357195,1.093229823776246,0.6081799876538702
4cc5ec5ba0a8,6,0.9423384845936882,1.230568219009561,0.7462577147473596
8ebc960084e6,6,0.9400639607211988,0.9678110562513147,0.6984833857574823
44c4c806ec8c,8,0.9370006235951036,1.1398762094494927,0.6455514801809159
ce31abc46830,8,0.9367873746040242,1.0961675228094265,0.8014654412109918
912fe434e1f0,8,0.9362937746943243,1.0763663460843358,0.7167698853827189
bdbbdd32533d,9,0.9340144136627191,1.010034668917301,0.562371305703558
6d7cbc7a833d,5,0.9277675684000144,1.1131317188454797,0.8544219244490268
b6ca2a480774,19,0.9201885386584373,1.29050424422089,0.5821709393900804
e86aff8ffb35,36,0.91849928017084,0.9702702391322262,0.6931665875886373
3e0ea7a2c961,12,0.9122199290572094,1.0190636108962352,0.7132252966355285
ad059e316cc6,15,0.9089437781420094,1.0187183597604117,0.6644803804610101
d46407dc04be,8,0.9087288294317142,1.4496526572493247,0.42102793295310176
ebdc73040f55,5,0.9045062123153237,0.9786664390301787,0.7490888613939913
b863e5758f53,5,0.9022286461301071,1.0760186386070791,0.8889956754206937
9c00f1099469,7,0.9021571448814804,0.9600992265872851,0.6580203509975419
c72b635d9c03,5,0.8963248145144327,0.9334271195660309,0.7141356492969396
e22457441a57,94,0.8950736350113292,1.0592253225276298,0.6513780181034708
b63aa0b4fdb0,9,0.8924698358139861,1.0705393803409438,0.7092165483393553
f4e096568ab2,9,0.8876094621632155,1.0657548713834153,0.772385257614617
a5d822507e38,8,0.8794074698003486,1.0223527853343775,0.6398444921852335
8fce79ccdf58,19,0.8778970705537178,0.9961949680449265,0.6915869496557652
a9e4bd30086e,19,0.8733030552020017,1.091299030294859,0.7898463796049588
f610826d14ef,5,0.8731076466410297,0.9898620848863489,0.7022459197945665
f93ba59a9acb,5,0.8721058316723893,0.9486141834490113,0.7331382776115491
9f64913a9962,97,0.8621301675116285,1.08814425863574,0.6649960001023184
418450e00daa,17,0.8618678698013443,0.9889278677488639,0.5849859663394944
3d13079e0337,11,0.8531938458693187,0.9734321874280308,0.6713819517990893
766ce644cc98,7,0.8287920111557809,0.8568271721135696,0.78380642965825
bf0b7f58151c,19,0.8277261644153278,0.908856781707742,0.32981899138324733
cb51e5c13838,9,0.8203505964390707,1.083146052087636,0.6771513954590929
986c6de398c7,24,0.8202173578789475,0.9566076562998618,0.6723323203829628
a45a0127b881,11,0.8160535597433328,1.0064279001085357,0.7397591048062228
9829e1e3bdfa,6,0.8152470174257376,0.99873997361406,0.6432140609317454
d89be4a06dad,21,0.8152167089650966,1.0628457230258395,0.7269793115600535
68eb6807c535,6,0.8134104693362995,0.9345671036516143,0.6627483089382801
58bfe0245568,6,0.8100023341141789,0.8204284644316795,0.48233645983645984
90addc6bed2e,5,0.8098351729514823,0.8299499034619541,0.5598504423358034
a83b5fc8b57c,30,0.8058217357324317,1.017395924892356,0.7839897681122159
7b0c12cb30ac,5,0.8039328441358139,0.8156673376497918,0.6123743333206043
f8a50a0b3872,10,0.8038396553687912,0.8646737262515488,0.8022637840377567
543f4bfaa62b,6,0.8037357176184079,1.0391580483409277,0.6445776570381001
9befaba343d0,17,0.7981044363599356,0.964304501504825,0.6252975228195473
3e29b80f74c6,602,0.7970606304900375,1.0183181785439859,0.6690392439809238
dfcb99ad17c3,6,0.7946284434154144,1.0769573084299568,0.8031622938318286
4d686129b6fa,46,0.7882108063768867,0.844940559065873,0.6016336462915457
be9a36012d66,5,0.7819330026433248,0.9041986187231521,0.9355932203389831
97427f1cffc5,13,0.7812032107709541,0.8862350485068095,0.7605320078288381
d0f0f9eb0e67,33,0.7802390433624751,0.8881168173338657,0.6578853848064385
142bbaaa7eaf,7,0.7788011119979364,0.9815874082182637,0.7322749343907146
08256fa61568,11,0.7732572367949447,0.9437032611663184,0.6652900371629472
e392073982b0,24,0.7732544580814351,0.9187291235899838,0.8050530373543751
c8246288cb2b,8,0.7714957309404592,0.877003642421025,0.7072876853937625
214b9e07b560,15,0.77132158125349,0.8355880649841045,0.7789007090044802
eca9825c0320,6,0.7675490871477438,0.8262130280565926,0.5540842459556753
e2338bb80055,5,0.7590766114223312,0.7695904776501972,0.8241207453723053
d61b071322e2,7,0.75570338235646,0.8526634963230667,0.652792467101257
102b8afb7edf,18,0.7539032545263312,0.8982227355310578,0.7709458379912792
8ad17c02f47f,20,0.7502904742700747,0.8132118946958554,0.4209098543704625
f57566a05954,5,0.7488108532351218,0.8856401678535835,0.7149330667347344
ba5e1d4530c1,5,0.744892286372005,0.8224400139354984,0.8701861594826752
5c3295f7e007,7,0.7386997341968228,0.8869146529238111,0.9388413817911457
c25048c469d8,11,0.7358199030942881,0.820678558060013,0.6735897293058858
c5d7eb62c892,7,0.7350014413524775,0.8531576457791344,0.8014195900495352
3b812260fda9,27,0.7343230898321609,0.8695962295768752,0.7322742031794031
3748e5aad6c5,9,0.7339817575727161,0.9642563099344282,0.6983230026249954
f1afc3989eae,5,0.7332728670416964,0.7859562380831729,0.7072816806398251
5cb49fca2b73,7,0.7307647734637508,0.8110889010682991,0.7096695257991995
c9c1b60fac08,14,0.7298097983946426,0.892814605919996,0.6753625852309458
db8cbdf2ba39,6,0.7253179216829976,0.798877006378013,0.6691983360508383
b94ca1f352e9,13,0.7206058421962271,0.7741426081084425,0.5665545122323707
8b8dc82425ad,25,0.7196585175891387,0.8415177290545091,0.7519467472445431
8e33e4caa221,8,0.7183009836525606,1.0410377391136982,0.6686129667954858
4aa52b594411,118,0.7152947885653258,0.8728805979961398,0.7231412018930096
a68a0d7dd4f9,11,0.7133506062618552,0.8852067118751902,0.8045753588534073
1084b26eeb89,6,0.7106341724797689,0.7146978225965023,0.7034883806722161
a1f06650e957,12,0.7105968711696665,0.8412450056817667,0.51463764585017
4c8e4b345a30,66,0.7098397296355414,0.8296952702692768,0.7553559402399531
77fef12081c1,16,0.7057911824955594,0.8744175033456665,0.743841769970615
e75fd5c2c911,24,0.7038759410777353,1.0388261373077579,0.732428513401881
49ff8153b0c8,10,0.7022636395003634,0.9165122842710791,0.7623810404636134
13f39e61ed1f,17,0.7006198720501481,1.1465205374858354,0.6501002997356501
b228015f1181,12,0.6984525193801326,0.8200057145470383,0.6436643666941854
bf35ff643669,5,0.6881759697138283,0.6892562261695696,0.712257980115123
0bbbbfe84c09,25,0.6865636042335481,0.8492504035047215,0.4212711255072083
1481a6f604b7,9,0.6799996646241007,0.8518386623568306,0.6057804161053637
4b4d2530bd5a,93,0.6770657709580153,0.8507869810756246,0.6638586963899386
f9334c24dbd8,25,0.676174637882111,1.145816871747199,0.7361460647821906
3bcd045fc19f,13,0.6748882926782147,0.8190996655484839,0.8157933916991109
e418e017632b,35,0.6718273130957519,0.9458667407547584,0.647312529365175
c7dbbdf99c5e,5,0.6656498600967661,0.8273971326501385,0.42204148335818753
b4a1c02de345,14,0.6646247692166508,0.8262625140409918,0.587302633455523
0a54d49bd225,15,0.6571311619750141,0.820540817547472,0.7718102055893824
63baa6a6586e,6,0.6548894748740954,0.7809239680045812,0.7415288422751108
f314f1e5df40,5,0.6533963951822328,0.873153147097246,0.5312507035911291
